TotalReward,TotalStep,AvgReward
32.5,52,0.625
32.5,64,0.5078125
36.5,72,0.5069444444444444
51.5,86,0.5988372093023255
19.5,38,0.5131578947368421
106.5,157,0.678343949044586
40.5,66,0.6136363636363636
73.5,113,0.6504424778761062
45.5,86,0.5290697674418605
76.5,112,0.6830357142857143
26.5,38,0.6973684210526315
20.5,27,0.7592592592592593
24.5,47,0.5212765957446809
104.5,164,0.6371951219512195
61.5,95,0.6473684210526316
84.0,144,0.5833333333333334
47.5,86,0.5523255813953488
57.5,84,0.6845238095238095
60.0,87,0.6896551724137931
88.0,149,0.5906040268456376
47.0,95,0.49473684210526314
89.5,145,0.6172413793103448
45.0,79,0.569620253164557
78.0,122,0.639344262295082
3.5,6,0.5833333333333334
37.0,61,0.6065573770491803
75.0,105,0.7142857142857143
54.5,86,0.6337209302325582
90.5,145,0.6241379310344828
115.0,172,0.6686046511627907
37.5,60,0.625
76.5,136,0.5625
27.0,54,0.5
81.0,120,0.675
55.5,76,0.7302631578947368
50.0,72,0.6944444444444444
11.0,24,0.4583333333333333
48.5,75,0.6466666666666666
47.0,79,0.5949367088607594
60.5,91,0.6648351648351648
63.0,92,0.6847826086956522
112.5,161,0.6987577639751553
95.5,140,0.6821428571428572
107.0,162,0.6604938271604939
45.0,69,0.6521739130434783
94.5,144,0.65625
16.0,30,0.5333333333333333
91.5,141,0.648936170212766
66.5,112,0.59375
62.5,97,0.6443298969072165
37.5,68,0.5514705882352942
38.5,72,0.5347222222222222
48.5,89,0.5449438202247191
58.0,86,0.6744186046511628
97.5,161,0.6055900621118012
91.5,146,0.6267123287671232
44.0,74,0.5945945945945946
85.0,128,0.6640625
59.0,115,0.5130434782608696
81.0,125,0.648
26.5,42,0.6309523809523809
74.5,112,0.6651785714285714
60.5,85,0.711764705882353
101.5,153,0.6633986928104575
11.5,17,0.6764705882352942
26.5,46,0.5760869565217391
27.0,41,0.6585365853658537
55.5,98,0.5663265306122449
87.5,140,0.625
110.5,165,0.6696969696969697
40.5,74,0.5472972972972973
101.0,142,0.7112676056338029
77.5,128,0.60546875
61.0,111,0.5495495495495496
27.0,44,0.6136363636363636
82.5,128,0.64453125
41.5,66,0.6287878787878788
105.0,156,0.6730769230769231
15.5,26,0.5961538461538461
66.5,98,0.6785714285714286
36.0,60,0.6
50.0,102,0.49019607843137253
45.0,64,0.703125
89.0,138,0.644927536231884
43.0,59,0.7288135593220338
60.5,106,0.5707547169811321
60.5,104,0.5817307692307693
97.0,152,0.6381578947368421
40.0,74,0.5405405405405406
54.5,99,0.5505050505050505
18.5,36,0.5138888888888888
44.5,73,0.6095890410958904
48.0,94,0.5106382978723404
59.0,113,0.5221238938053098
54.0,87,0.6206896551724138
46.5,77,0.6038961038961039
66.0,101,0.6534653465346535
76.0,128,0.59375
15.0,23,0.6521739130434783
37.0,64,0.578125
93.0,147,0.6326530612244898
103.5,150,0.69
42.0,66,0.6363636363636364
104.5,152,0.6875
27.0,52,0.5192307692307693
98.0,141,0.6950354609929078
28.5,45,0.6333333333333333
25.5,48,0.53125
54.0,94,0.574468085106383
57.5,86,0.6686046511627907
26.5,47,0.5638297872340425
27.0,44,0.6136363636363636
51.0,74,0.6891891891891891
45.5,88,0.5170454545454546
44.5,59,0.7542372881355932
87.0,137,0.635036496350365
47.5,70,0.6785714285714286
66.0,125,0.528
52.0,95,0.5473684210526316
91.5,137,0.6678832116788321
32.0,61,0.5245901639344263
73.5,137,0.5364963503649635
56.5,85,0.6647058823529411
43.5,63,0.6904761904761905
49.5,83,0.5963855421686747
53.5,74,0.722972972972973
45.0,67,0.6716417910447762
43.5,66,0.6590909090909091
24.0,40,0.6
46.5,86,0.5406976744186046
45.5,64,0.7109375
58.5,103,0.5679611650485437
12.5,22,0.5681818181818182
38.5,64,0.6015625
44.5,73,0.6095890410958904
33.5,62,0.5403225806451613
82.0,115,0.7130434782608696
75.5,120,0.6291666666666667
38.5,79,0.4873417721518987
50.5,72,0.7013888888888888
55.0,82,0.6707317073170732
59.5,103,0.5776699029126213
23.5,45,0.5222222222222223
69.5,107,0.6495327102803738
4.0,7,0.5714285714285714
92.0,135,0.6814814814814815
3.5,6,0.5833333333333334
62.0,109,0.5688073394495413
82.5,154,0.5357142857142857
50.5,86,0.5872093023255814
79.0,112,0.7053571428571429
60.5,117,0.5170940170940171
51.5,100,0.515
48.0,72,0.6666666666666666
31.0,52,0.5961538461538461
53.0,87,0.6091954022988506
99.5,141,0.7056737588652482
55.0,100,0.55
74.5,137,0.5437956204379562
48.0,80,0.6
60.0,86,0.6976744186046512
28.0,53,0.5283018867924528
56.0,88,0.6363636363636364
82.0,134,0.6119402985074627
98.5,141,0.6985815602836879
73.0,129,0.5658914728682171
100.0,143,0.6993006993006993
24.5,34,0.7205882352941176
79.5,138,0.5760869565217391
13.5,25,0.54
56.0,82,0.6829268292682927
44.0,68,0.6470588235294118
88.5,137,0.6459854014598541
43.5,84,0.5178571428571429
53.5,77,0.6948051948051948
74.5,105,0.7095238095238096
93.5,136,0.6875
35.5,55,0.6454545454545455
57.5,85,0.6764705882352942
67.0,119,0.5630252100840336
56.0,113,0.49557522123893805
60.0,84,0.7142857142857143
88.0,128,0.6875
35.5,52,0.6826923076923077
89.0,128,0.6953125
3.5,6,0.5833333333333334
61.0,89,0.6853932584269663
55.0,81,0.6790123456790124
47.0,70,0.6714285714285714
51.0,103,0.49514563106796117
9.5,21,0.4523809523809524
95.5,136,0.7022058823529411
18.5,34,0.5441176470588235
95.0,144,0.6597222222222222
91.0,137,0.6642335766423357
73.5,118,0.6228813559322034
49.5,71,0.6971830985915493
80.5,120,0.6708333333333333
41.5,73,0.5684931506849316
86.5,134,0.6455223880597015
56.5,79,0.7151898734177216
78.0,124,0.6290322580645161
30.0,54,0.5555555555555556
57.0,103,0.5533980582524272
44.0,64,0.6875
42.5,65,0.6538461538461539
21.5,44,0.48863636363636365
91.5,139,0.658273381294964
55.5,84,0.6607142857142857
83.0,131,0.6335877862595419
22.0,36,0.6111111111111112
91.0,155,0.5870967741935483
28.5,54,0.5277777777777778
56.5,112,0.5044642857142857
30.5,44,0.6931818181818182
97.0,150,0.6466666666666666
35.0,58,0.603448275862069
51.0,73,0.6986301369863014
84.5,127,0.6653543307086615
5.5,9,0.6111111111111112
84.5,130,0.65
89.5,136,0.6580882352941176
95.5,136,0.7022058823529411
63.5,93,0.6827956989247311
97.0,143,0.6783216783216783
73.5,98,0.75
99.0,143,0.6923076923076923
68.0,115,0.591304347826087
53.0,103,0.5145631067961165
55.0,80,0.6875
104.0,155,0.6709677419354839
44.0,90,0.4888888888888889
53.0,88,0.6022727272727273
22.0,32,0.6875
84.5,125,0.676
81.5,134,0.6082089552238806
75.5,116,0.6508620689655172
54.5,112,0.48660714285714285
82.5,134,0.6156716417910447
50.5,81,0.6234567901234568
48.0,85,0.5647058823529412
56.5,80,0.70625
82.0,134,0.6119402985074627
47.5,81,0.5864197530864198
55.0,109,0.5045871559633027
35.5,64,0.5546875
83.0,135,0.6148148148148148
67.5,108,0.625
49.5,95,0.5210526315789473
28.0,54,0.5185185185185185
52.0,76,0.6842105263157895
49.5,94,0.526595744680851
99.0,143,0.6923076923076923
37.5,75,0.5
62.0,116,0.5344827586206896
62.0,108,0.5740740740740741
80.5,130,0.6192307692307693
36.5,75,0.4866666666666667
59.0,118,0.5
45.0,92,0.4891304347826087
100.0,146,0.684931506849315
39.0,59,0.6610169491525424
44.5,88,0.5056818181818182
11.5,25,0.46
88.5,137,0.6459854014598541
22.5,32,0.703125
70.0,102,0.6862745098039216
66.5,98,0.6785714285714286
63.0,123,0.5121951219512195
43.0,86,0.5
95.5,145,0.6586206896551724
7.5,11,0.6818181818181818
35.5,55,0.6454545454545455
21.0,35,0.6
46.0,71,0.647887323943662
88.0,134,0.6567164179104478
101.0,169,0.5976331360946746
52.5,87,0.603448275862069
56.5,80,0.70625
32.5,53,0.6132075471698113
88.0,131,0.6717557251908397
64.0,96,0.6666666666666666
83.0,128,0.6484375
46.0,73,0.6301369863013698
92.5,140,0.6607142857142857
66.5,133,0.5
92.0,134,0.6865671641791045
35.5,52,0.6826923076923077
33.5,56,0.5982142857142857
21.5,39,0.5512820512820513
23.0,40,0.575
44.5,64,0.6953125
72.5,126,0.5753968253968254
19.0,33,0.5757575757575758
34.5,58,0.5948275862068966
60.0,105,0.5714285714285714
58.5,89,0.6573033707865169
3.5,6,0.5833333333333334
52.5,98,0.5357142857142857
54.5,75,0.7266666666666667
59.5,85,0.7
62.5,105,0.5952380952380952
96.5,145,0.6655172413793103
22.0,41,0.5365853658536586
53.5,83,0.6445783132530121
28.0,50,0.56
80.5,135,0.5962962962962963
45.5,86,0.5290697674418605
105.5,153,0.6895424836601307
39.0,57,0.6842105263157895
99.5,142,0.7007042253521126
57.0,98,0.5816326530612245
85.5,135,0.6333333333333333
13.5,25,0.54
64.0,104,0.6153846153846154
17.5,37,0.47297297297297297
52.0,86,0.6046511627906976
53.0,79,0.6708860759493671
56.0,109,0.5137614678899083
69.0,94,0.7340425531914894
71.5,121,0.5909090909090909
48.0,86,0.5581395348837209
95.0,136,0.6985294117647058
44.5,65,0.6846153846153846
106.5,159,0.6698113207547169
30.0,48,0.625
73.5,107,0.6869158878504673
17.0,27,0.6296296296296297
23.0,32,0.71875
53.0,81,0.654320987654321
75.5,117,0.6452991452991453
11.0,20,0.55
89.5,126,0.7103174603174603
4.0,7,0.5714285714285714
16.5,27,0.6111111111111112
20.5,37,0.5540540540540541
34.5,54,0.6388888888888888
59.0,83,0.7108433734939759
45.5,84,0.5416666666666666
55.5,77,0.7207792207792207
74.5,110,0.6772727272727272
60.5,100,0.605
81.5,141,0.5780141843971631
20.0,39,0.5128205128205128
46.0,80,0.575
60.0,84,0.7142857142857143
25.5,49,0.5204081632653061
54.5,103,0.529126213592233
30.5,52,0.5865384615384616
103.5,155,0.667741935483871
85.5,125,0.684
89.0,128,0.6953125
16.0,28,0.5714285714285714
65.0,109,0.5963302752293578
16.5,26,0.6346153846153846
55.0,111,0.4954954954954955
39.5,61,0.6475409836065574
68.5,112,0.6116071428571429
74.5,107,0.6962616822429907
57.0,87,0.6551724137931034
60.0,99,0.6060606060606061
60.0,92,0.6521739130434783
48.5,95,0.5105263157894737
85.5,128,0.66796875
52.5,73,0.7191780821917808
114.5,162,0.7067901234567902
34.5,57,0.6052631578947368
22.5,37,0.6081081081081081
54.5,96,0.5677083333333334
101.5,173,0.5867052023121387
39.5,59,0.6694915254237288
23.0,43,0.5348837209302325
50.0,83,0.6024096385542169
81.5,131,0.6221374045801527
57.5,87,0.6609195402298851
104.0,146,0.7123287671232876
34.5,71,0.4859154929577465
85.0,135,0.6296296296296297
90.0,129,0.6976744186046512
110.5,161,0.6863354037267081
55.0,81,0.6790123456790124
103.5,150,0.69
102.0,146,0.6986301369863014
88.5,127,0.6968503937007874
50.0,77,0.6493506493506493
37.0,67,0.5522388059701493
60.5,101,0.599009900990099
115.0,160,0.71875
11.5,19,0.6052631578947368
10.0,21,0.47619047619047616
18.5,39,0.47435897435897434
48.0,74,0.6486486486486487
61.5,92,0.6684782608695652
83.5,126,0.6626984126984127
93.0,153,0.6078431372549019
25.5,40,0.6375
26.5,48,0.5520833333333334
47.0,79,0.5949367088607594
37.5,64,0.5859375
101.0,162,0.6234567901234568
25.0,36,0.6944444444444444
84.0,129,0.6511627906976745
4.0,7,0.5714285714285714
87.0,143,0.6083916083916084
44.0,71,0.6197183098591549
71.0,101,0.7029702970297029
28.5,47,0.6063829787234043
61.0,93,0.6559139784946236
29.5,50,0.59
73.0,113,0.6460176991150443
21.0,37,0.5675675675675675
62.0,101,0.6138613861386139
62.0,97,0.6391752577319587
88.5,143,0.6188811188811189
97.0,152,0.6381578947368421
97.5,145,0.6724137931034483
62.0,98,0.6326530612244898
124.5,185,0.672972972972973
41.0,69,0.5942028985507246
25.0,47,0.5319148936170213
17.0,34,0.5
60.0,100,0.6
44.0,72,0.6111111111111112
26.5,51,0.5196078431372549
87.0,141,0.6170212765957447
225.0,133,1.6917293233082706
228.0,114,2.0
16.0,21,0.7619047619047619
276.5,126,2.1944444444444446
313.5,168,1.8660714285714286
388.0,189,2.052910052910053
198.0,108,1.8333333333333333
243.5,145,1.6793103448275861
223.5,123,1.8170731707317074
279.5,136,2.0551470588235294
